text,label
Want to take a short trip from Hyderabad to Bangalore this weekend.,trip_info
Do you recommend visiting Mumbai in January?,general_query
Are there any travel restrictions to Bangalore?,general_query
Plan a vacation from Manali to Chennai starting 26 March.,trip_info
Is it safe to travel to Mumbai now?,general_query
Will I get hotels in Chennai?,general_query
How many days should I spend in Goa?,general_query
Book a trip for 5 persons from Jaipur to Goa from 16 June to 15 July.,trip_info
Schedule a trip to Kolkata for 3 people starting from 25 March.,trip_info
Book a trip for 4 persons from Goa to Delhi from 01 June to 20 July.,trip_info
What are some good places to visit in Goa?,general_query
Looking to travel from Bangalore to Manali between 16 June and 26 June.,trip_info
Schedule a trip to Goa for 4 people starting from 27 April.,trip_info
Are there any travel restrictions to Manali?,general_query
Book a trip for 4 persons from Mumbai to Jaipur from 27 May to 20 July.,trip_info
Will I get hotels in Jaipur?,general_query
Plan a honeymoon trip from Goa to Manali in June.,trip_info
Do you recommend visiting Jaipur in June?,general_query
Is it safe to travel to Bangalore now?,general_query
Need a tour for 1 people from Jaipur to Kolkata with a ₹20000 budget.,trip_info
Schedule a trip to Chennai for 4 people starting from 22 March.,trip_info
Can I travel with pets?,general_query
Looking to travel from Jaipur to Pune between 06 June and 16 July.,trip_info
I want a trip from Goa to Mumbai with a budget of ₹15000.,trip_info
Vacation for 4 people to Pune from Bangalore on 04 April.,trip_info
Can you suggest some family-friendly destinations?,general_query
Book a trip for 3 persons from Goa to Chennai from 29 May to 04 July.,trip_info
Need a tour for 1 people from Kolkata to Mumbai with a ₹25000 budget.,trip_info
Need a tour for 4 people from Kolkata to Delhi with a ₹20000 budget.,trip_info
Looking to travel from Hyderabad to Jaipur between 06 June and 19 July.,trip_info
Do you recommend visiting Manali in February?,general_query
Want to take a short trip from Kolkata to Mumbai this weekend.,trip_info
How many days should I spend in Manali?,general_query
Need a tour for 4 people from Bangalore to Mumbai with a ₹15000 budget.,trip_info
Book a trip for 6 persons from Bangalore to Chennai from 15 June to 11 July.,trip_info
Need a tour for 3 people from Jaipur to Goa with a ₹10000 budget.,trip_info
What are some good places to visit in Chennai?,general_query
Schedule a trip to Goa for 5 people starting from 18 March.,trip_info
I want a trip from Chennai to Mumbai with a budget of ₹20000.,trip_info
Is it safe to travel to Jaipur now?,general_query
Is it safe to travel to Goa now?,general_query
Plan a vacation from Delhi to Mumbai starting 22 March.,trip_info
Is it safe to travel to Delhi now?,general_query
Looking to travel from Manali to Kolkata between 25 May and 06 July.,trip_info
